Абаза, Хакасия
Абакан, Хакасия
Абдулино, Оренбургская обл. 
Абинск, Краснодарский край
Агаповка, Челябинская обл.
Агинское, Забайкальский край
Агинское, Красноярский край 
Агрыз, Татарстан респ. 
Адамовка, Оренбургская обл. 
Адлер, Краснодарский край
Азнакаево, Татарстан респ.
Азов, Ростовская обл.
Азовское, Крым респ.
Айхал, Саха (Якутия) респ.
Аксай, Ростовская обл.
Актаныш, Татарстан респ. 
Акъяр, Башкортостан
Алапаевск, Свердловская обл.
Алатырь, Чувашия
Алдан, Якутия
Алейск, Алтайский край
Александров, Владимирская обл.
Александровка, Оренбургская обл. 
Александровск, Сахалинская обл.
Александровское, Ставропольский край
Алексеевка, Алексеевский р-он, Самарская обл.
Алексеевка, Белгородская обл.
Алексеевка, Самарская обл.
Алексеевская, Волгоградская обл.
Алексеевское, Татарстан респ.
Алексин, Тульская обл.
Алерой, Чеченская респ.
Алзамай, Иркутская обл.
Алтайское, Алтайский край
Алушта, Крым респ.
Альметьевск, Татарстан респ.
Амга, Саха (Якутия) респ.
Амурск, Хабаровский край
Анадырь, Чукотский АО
Анапа, Краснодарский край
Ангарск, Иркутская обл.
Анжеро-Судженск, Кемеровская обл.
Анна, Воронежская обл.
Апатиты, Мурманская обл.
Апшеронск, Краснодарский край
Арамиль, Свердловская обл.
Ардатов, Нижегородская обл.
Арзамас, Нижегородская обл.
Аркадак, Саратовская обл.
Армавир, Краснодарский край
Армизонское, Тюменская обл.
Армянск, Крым респ.
Аромашево, Тюменская обл.
Арсеньев, Приморский край
Арск, Татарстан респ. 
Артем, Приморский край
Артемовский, Свердловская обл.
Арти, Свердловская обл.
Архангельск, Архангельская обл.
Архангельское, Башкортостан респ.
Архара, Амурская обл.
Арья, Нижегородская обл.
Асбест, Свердловская обл.
Асекеево, Оренбургская обл.
Асино, Томская обл. 
Аскиз, Хакасия респ.
Аскино, Башкортостан респ.
Астрахань, Астраханская обл.
Аткарск, Саратовская обл.
Афанасьево, Кировская обл.
Ахтубинск, Астраханская обл.
Ачинск, Красноярский край
Аша, Челябинская обл.
Аян, Хабаровский край
Бабаево, Вологодская обл.
Бабушкин,  Бурятия респ.
Бавлы, Татарстан респ.
Багаевская, Ростовская обл.
Баган, Новосибирская обл.
Багратионовск, Калининградская обл.
Бада, Забайкальский край
Баево, Алтайский край
Базаиха, Красноярский край
Базарный Карабулак, Саратовская обл.
Байкальск, Иркутская обл.
Баймак, Башкортостан респ.
Баксан, Кабардино-Балкарская респ.
Бакчар, Томская обл.
Балабаново, Калужская обл.
Балаклава, Крым респ.
Балаково, Саратовcкая обл. 
Балахна, Нижегородская обл.
Балахта, Красноярский край 
Балашиха, Московская обл.
Балашиха-2, Московская обл.
Балашов, Саратовская обл.
Балей, Забайкальский край
Балтаси, Татарстан респ. 
Балтийск, Калининградская обл.
Барабинск, Новосибирская обл. 
Барнаул, Алтайский край
Барсук, Белгородская обл
Барыш, Ульяновская обл. 
Батагай, Саха (Якутия) респ.
Батайск, Ростовская обл.
Батырево, Чувашия респ.
Бахчисарай, Крым респ.
Бачатский, Кемеровская обл.
Бачи-юрт, Чеченская респ.
Башмаково, Пензенская обл.
Бежецк, Тверская
Бежецк, Тверская обл.
Безенчук, Самарская обл.
Белая Глина, Краснодарский край
Белая Калитва, Ростовская обл.
Белая Холуница, Кировская обл.
Белая, Курская обл.
Белгород, Белгородская обл.
Белебей, Башкортостан респ.
Белев, Тульская обл.
Белово, Кемеровская обл. 
Белогорск, Амурская обл.
Белогорск, Крым респ.
Белозерск, Вологодская обл.
Белокуриха, Алтайский край
Беломорск, Республика Карелия
Белорецк, Башкортостан респ.
Белореченск, Краснодарский край
Белоярский, Тюменская обл.
Белый Яр, Хакасия респ. 
Бердигестях, Саха (Якутия) респ.
Бердск, Новосибирская  обл.
Бердск, Новосибирская обл.
Березники, Пермский край
Березовка, Алтайский край
Березовский, Кемеровская обл.
Березовский, Свердловская обл.
Бея, Хакасия респ.
Бжедуховская, Краснодарский край
Бижбуляк, Башкортостан респ. 
Бийск, Алтайский край
Бикин, Хабаровский край
Биробиджан, Еврейская АО
Бирск, Башкортостан респ.
Бирюч, Белгородская обл.
Благовещенка, Алтайский край
Благовещенск, Амурская обл.
Благовещенск, Башкортостан респ.
Благовещенск, Башкортостан респ. 
Благодарный, Ставропольский край
Благоево пос., Удорский р-н, р.Коми
